,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
49,kodinsk,58.69,23.78,74,88,9.44
51,saint-philippe,-21.36,86,58,0,9.17
52,petropavlovsk-kamchatskiy,53.05,12.2,66,76,4.47
53,chambas,22.19,73.4,100,40,3.36
54,sheopur,25.67,68.42,75,68,5.3
55,saskylakh,71.92,-21.04,61,56,3.85
56,mehran,33.12,41,93,75,6.93
57,vaini,-21.2,78.8,88,75,6.2
58,dawei,14.08,90.74,49,0,2.17
59,rikitea,-23.12,77.56,100,88,15.7
60,saint george,37.1,39.2,32,1,12.75
61,simao,22.79,71.93,49,0,2.84
62,camacha,33.08,64.4,63,75,9.17
63,aykhal,66,-26.4,38,48,3.29
64,caravelas,-17.71,75.8,100,92,8.99
66,tornio,65.85,3.2,77,90,2.95
67,san quintin,30.48,42.77,94,0,3.4
68,codrington,-38.27,57.04,100,92,16.82
69,guerrero negro,27.98,55.24,88,0,8.99
70,carnarvon,-24.87,86.92,59,0,15.48
71,butaritari,3.07,82.42,100,92,10
72,mahajanga,-15.72,86,70,20,3.36
73,hobart,-42.88,66.2,48,75,7.2
74,bengkulu,-3.8,83.18,100,20,9.78
75,ambato,-1.25,51.8,87,75,2.24
76,novoalekseyevskaya,44.82,35.93,96,92,14.92
77,ozark,37.02,35.6,80,1,12.75
78,arraial do cabo,-22.97,72.79,94,92,11.79
79,souillac,-20.52,84.2,62,75,12.75
80,puerto leguizamo,-0.19,74.63,96,36,2.17
81,tasiilaq,65.61,23,41,32,8.05
82,kodiak,57.79,37.4,100,1,6.93
83,husavik,66.04,23,92,90,14.99
84,chuy,-33.7,62.66,95,32,5.3
85,san patricio,19.22,66.98,100,0,2.17
86,cape town,-33.93,82.4,42,0,3.36
87,olga,43.74,11.18,44,24,5.19
88,pisco,-13.7,62.6,88,0,3.36
89,san cristobal,7.77,77,88,40,2.24
90,aswan,24.09,55.96,80,0,14.36
91,santa maria,-29.68,69.05,91,24,6.76
92,cabo san lucas,22.89,76.25,100,48,4.41
93,bathsheba,13.22,80.6,78,20,16.11
94,mehamn,71.04,30.2,73,0,14.99
95,klaksvik,62.23,33.8,100,90,48.32
96,oda,35.18,44.6,87,75,8.05
97,bethel,41.37,41,51,90,4.7
98,salina,38.84,23,62,1,12.75
99,opuwo,-18.06,66.49,83,8,4.85
100,mar del plata,-38,61.85,97,36,5.41
101,yakuplu,40.99,46.4,61,75,4.7
104,jaguariaiva,-24.25,67.7,85,80,6.64
105,hithadhoo,-0.6,82.19,100,0,13.69
106,longyearbyen,78.22,23,67,40,16.11
107,honningsvag,70.98,30.2,80,20,19.46
108,lavrentiya,65.58,28.73,100,80,8.88
109,urdoma,61.75,21.94,96,76,3.62
110,bizhbulyak,53.7,25.27,92,88,13.47
111,bonavista,48.65,36.56,98,92,10.45
112,tupik,54.43,-17.71,70,48,2.84
115,taoudenni,22.68,46.37,64,0,13.13
117,tianpeng,30.99,57.2,47,40,13.42
118,tuktoyaktuk,69.45,15.8,92,90,12.75
119,atuona,-9.8,80.93,99,88,18.16
120,san jose,37.34,51.8,49,20,3.36
121,phangnga,8.45,91.4,59,20,8.05
122,alofi,-19.06,77,94,92,3.36
123,charters towers,-20.1,90.38,48,32,8.21
124,namatanai,-3.67,85.7,98,24,3.85
125,zhdanov,40.16,33.8,86,75,1.12
126,vila,42.03,46.4,65,90,9.17
127,marienburg,5.85,73.4,94,20,13.24
128,prince rupert,54.32,33.8,100,1,4.7
129,castro,-24.79,62.44,97,68,5.97
130,portland,45.52,46.4,52,1,18.34
131,ostrovnoy,68.05,18.2,97,80,6.87
132,tuatapere,-46.13,65.36,79,0,2.17
133,mount gambier,-37.83,54.16,100,92,5.97
134,ankang,32.68,46.28,63,36,2.95
135,bobrovka,54.05,19.51,80,76,14.7
137,sisophon,13.59,88.67,65,0,4.63
138,ponta do sol,32.67,64.4,68,40,6.93
139,saint-joseph,-21.37,86,58,0,9.17
140,port elizabeth,-33.92,68,77,20,19.46
141,kieta,-6.22,78.82,100,68,2.62
142,new norfolk,-42.78,66.2,48,75,11.79
143,bambanglipuro,-7.95,86.02,80,24,7.54
144,severodvinsk,64.56,15.8,100,90,7.76
146,quanzhou,24.91,68,52,0,6.71
147,pontianak,-0.03,87.8,70,75,9.17
148,namibe,-15.2,70.67,100,56,0.6
149,poum,-20.23,79.22,100,0,17.6
150,miyako,39.64,46.19,100,8,17.05
152,wellington,-41.29,71.6,64,0,16.11
153,bardiyah,31.76,60.5,100,64,14.7
154,sistranda,63.73,39.2,80,75,27.51
156,reyes,-14.32,74,98,48,1.61
157,tommot,58.96,-15.01,63,48,2.73
158,suna,57.83,24.05,94,92,7.99
159,vernon,50.26,33.8,86,90,3.36
160,severobaykalsk,55.65,11.14,75,68,5.19
161,teahupoo,-17.83,78.8,78,20,5.82
162,qaanaaq,77.48,10.06,93,76,9.78
163,yellowknife,62.46,3.2,84,90,6.93
164,whitehorse,60.72,39.2,60,75,8.05
165,hermanus,-34.42,71.17,58,0,3.96
166,denpasar,-8.65,86,70,20,11.41
167,volsk,52.03,17.26,93,76,4.07
168,banjar,-8.19,86,70,20,11.41
169,sabya,17.15,84.2,54,20,10.29
170,luderitz,-26.65,60.8,93,44,5.82
171,gorin,51.2,-22.03,64,8,2.62
172,changli,39.7,34.58,100,0,14.36
173,lorengau,-2.02,83.77,100,48,11.01
174,merauke,-8.47,90.92,62,12,9.1
175,kaeo,-35.1,69.32,61,0,11.45
176,byron bay,-28.65,78.8,65,0,8.05
177,murindo,6.98,73.96,98,88,2.39
179,vozhega,60.47,16.67,85,88,2.95
180,troitskaya,43.31,25.72,78,0,2.95
181,lebu,-37.62,53.3,100,0,20.85
182,quata,-22.25,71.71,94,92,4.52
183,lazaro cardenas,17.96,71.48,100,0,1.16
184,mana,5.66,72.92,99,76,2.17
185,izhma,65.01,23.02,84,80,3.74
186,oxford,51.75,55.4,93,75,16.11
187,kedrovyy,56.17,24.8,79,75,17.9
188,benguela,-12.58,78.8,65,0,1.16
189,tiksi,71.69,-25.32,76,36,4.41
190,kruisfontein,-34,68.69,74,0,16.6
191,tura,25.52,75.53,72,0,4.52
193,naples,26.14,68,100,1,2.95
195,marshall,32.54,44.6,80,20,3.62
196,mbandaka,0.05,73.51,99,48,2.62
197,gamba,-2.65,74.77,93,36,4.52
198,zavodoukovsk,56.5,18.47,85,44,12.01
200,pandan,14.05,80.3,100,88,5.08
202,esterhazy,50.65,7.72,79,64,12.35
203,severo-kurilsk,50.68,28.69,100,80,2.39
204,rio gallegos,-51.62,44.6,81,90,6.93
205,otradnoye,59.78,21.2,85,40,4.47
206,flinders,-34.58,86,20,0,11.41
207,mahebourg,-20.41,84.2,62,75,12.75
208,lahat,-3.8,84.71,99,24,3.62
209,marsh harbour,26.54,75.8,100,64,8.55
210,rocha,-34.48,57.08,95,20,2.62
211,vanavara,60.34,22.52,73,88,10.56
213,sao filipe,14.9,76.66,98,0,12.46
214,umm lajj,25.02,68.29,100,0,8.21
215,helena,46.59,23,85,90,3.85
216,mwene-ditu,-7,66.94,100,88,2.73
217,tual,-5.67,83.27,100,32,9.55
220,hanzhong,33.07,45.2,66,32,2.62
221,ust-kuyga,70.02,-38.41,0,0,2.95
222,kinkala,-4.36,80.6,78,20,8.05
223,palasa,18.77,77.02,89,92,19.51
224,pitimbu,-7.47,73.4,88,20,9.1
225,salalah,17.02,80.6,26,0,5.82
226,haines junction,60.75,27.97,92,80,2.28
227,bumba,2.18,74.41,92,80,3.85
228,rawson,-43.3,53.66,94,88,13.8
229,palu,-0.89,79.09,98,76,8.88
230,obo,5.4,71.39,81,0,7.87
231,komsomolskiy,40.43,35.6,59,0,4.7
232,sibolga,1.74,77.78,85,56,2.62
233,hovd,48.01,9.56,72,0,4.18
234,stoina,44.68,39.2,76,0,5.82
235,oktyabrskoye,43.06,25.72,78,0,2.95
238,lichuan,30.3,50.96,73,88,3.29
239,tshikapa,-6.42,70.31,100,88,2.17
240,najran,17.49,69.8,21,0,4.18
241,katsuura,35.13,51.8,95,40,5.82
242,nago,26.59,69.8,60,75,5.82
243,vardo,70.37,17.6,92,8,14.99
244,gold coast,-28,78.8,65,0,8.05
245,gardez,33.6,31.07,25,0,3.18
246,pontes e lacerda,-15.23,70.99,99,64,4.63
247,susangerd,31.56,73.4,46,80,19.46
249,barrow,71.29,10.4,85,90,17.22
251,port hawkesbury,45.62,37.4,93,90,10.29
252,santiago del estero,-27.8,74.86,81,56,3.96
253,saint-pierre,-21.34,86,58,0,9.17
255,calatayud,41.35,33.8,92,32,1.12
256,bluff,-46.6,63.02,99,76,5.97
257,antofagasta,-23.65,60.8,82,75,5.82
258,deputatskiy,69.3,-21.54,30,48,2.62
259,sitka,57.05,55.4,90,1,21.92
261,brigham city,41.51,23,62,1,6.93
262,pangnirtung,66.15,25.94,80,88,16.93
263,acari,-15.43,47.72,76,12,1.83
264,geraldton,-28.77,86,35,0,24.16
265,galle,6.04,82.91,96,44,4.52
266,grindavik,63.84,24.8,53,75,24.16
268,lasa,46.62,24.8,73,0,5.82
270,sheltozero,61.37,14.6,100,48,2.51
271,torbay,47.67,33.8,100,90,8.05
272,saint-raymond,45.47,35.6,64,75,13.87
273,gangtok,27.33,46.64,51,0,1.72
274,ribeira grande,38.52,68,88,75,18.34
275,inirida,3.87,76.25,92,76,2.73
276,tahe,52.33,-5.74,40,0,2.62
277,the pas,53.83,8.6,84,90,6.93
278,japura,-0.32,86.15,77,32,3.06
279,nelson bay,-32.72,84.2,28,0,14.99
280,lakatoro,-16.1,79.04,100,56,4.07
281,margate,51.38,50,81,75,24.16
282,kautokeino,69.01,3.31,87,68,2.28
283,barcelos,41.54,44.6,70,40,10.29
284,pimenta bueno,-11.67,74.09,97,92,1.72
285,berlevag,70.86,30.2,58,0,24.16
286,kimbe,-5.55,79.04,100,64,2.73
287,vestmannaeyjar,63.44,24.8,73,0,23.04
288,preobrazheniye,42.9,15.19,57,68,2.73
289,laguna,38.42,46.4,93,1,3.62
290,weligama,5.97,82.91,96,44,4.52
291,keshod,21.3,75.26,61,0,10.89
292,ulladulla,-35.35,86,20,0,11.41
293,cidreira,-30.18,70.09,92,8,6.64
294,fastiv,50.08,32,96,90,4.47
295,los llanos de aridane,28.66,66.2,55,75,11.41
298,yar-sale,66.83,16.49,93,80,10.89
299,torata,-17.08,41.51,45,76,1.72
300,sobinka,55.99,23.96,95,80,6.76
301,mogwase,-25.19,59.78,98,80,9.78
303,codajas,-3.84,77.02,96,44,5.41
304,mitsamiouli,-11.38,75.2,100,75,6.93
305,touros,-5.2,78.41,88,88,9.1
306,krasnyy chikoy,50.36,22.25,54,68,6.64
307,sioux lookout,50.1,-0.41,77,75,8.05
308,salinopolis,-0.61,81.61,94,24,12.46
309,sayyan,15.17,54.65,22,0,2.06
310,san carlos de bariloche,-41.15,51.8,62,0,10.29
311,guarapari,-20.67,71.6,94,75,11.41
312,seoul,37.57,42.8,38,1,16.11
313,pevek,69.7,-2.37,85,0,8.77
315,kuala sungai baru,2.36,89.6,66,75,6.93
316,chimbote,-9.09,62.12,94,56,4.63
317,zalaegerszeg,46.84,24.8,92,90,2.73
318,novosokolniki,56.35,22.07,91,56,3.74
319,quatre cocos,-20.21,84.2,62,75,12.75
321,quang ngai,15.12,70.09,100,92,2.95
322,kapaa,22.08,64.4,87,1,3.36
323,atar,20.52,54.83,32,0,13.47
324,indiaroba,-11.52,75.26,88,92,9.89
325,samarai,-10.62,83.99,100,48,7.43
326,pemangkat,1.17,84.31,82,88,3.4
327,tabuk,17.42,72.34,87,76,2.51
328,norman wells,65.28,14,85,75,5.82
329,manzhouli,49.6,6.68,51,0,8.77
330,bar,49.08,34.94,97,92,18.61
331,kysyl-syr,63.9,-26.62,41,44,10.89
332,saint-leu,-21.15,86,58,0,9.17
333,verkhnyaya khava,51.84,28.4,68,90,17.9
334,saint-francois,46.42,28.4,92,90,2.24
335,hasaki,35.73,53.6,46,20,1.12
336,homer,59.64,30.2,79,1,6.93
337,nantucket,41.28,42.8,56,1,8.05
338,walvis bay,-22.96,59,87,90,1.12
339,brae,60.4,44.6,75,20,16.11
340,kahului,20.89,62.6,82,1,6.93
341,bartica,6.4,73.4,100,40,2.24
342,san policarpo,12.18,83.77,91,24,6.64
343,linxia,35.6,25.09,42,56,3.74
346,suda,59.15,20,95,80,3.51
347,bilibino,68.05,-10.6,52,8,4.29
348,santa cruz de tenerife,28.47,60.8,71,75,13.87
349,gizo,-8.1,85.25,100,12,7.65
352,jerantut,3.94,85.43,75,8,2.73
353,meridian,43.61,24.8,100,12,2.28
355,dunedin,-45.87,73.96,59,0,6.76
356,kerekegyhaza,46.94,32,89,0,2.24
357,puerto escondido,15.85,82.87,100,0,8.77
358,olinda,-8.01,78.8,78,40,4.7
359,piacabucu,-10.41,72.56,96,20,9.78
360,hit,33.64,45.38,93,0,17.27
361,shimoda,34.67,55.4,100,20,6.93
363,constitucion,-35.33,54.52,95,0,7.65
364,anadyr,64.75,12.2,92,90,11.18
365,mbaiki,3.87,74.72,90,32,3.74
366,karratha,-20.74,101.59,27,0,10.45
367,hami,42.8,34.85,36,64,3.74
368,san angelo,31.46,39.2,86,90,6.93
369,mabaruma,8.2,78.01,95,64,6.2
371,ornskoldsvik,63.29,21.2,100,75,8.05
372,manjacaze,-24.71,72.34,80,80,13.91
373,lamar,38.09,10.4,78,1,4.7
374,nancha,47.13,-3.49,49,32,3.06
375,san clemente,33.43,71.6,11,1,5.82
376,bakchar,57.02,22.39,85,44,6.64
377,la primavera,5.49,79.27,75,80,5.3
378,harper,4.38,78.19,100,80,5.86
379,ganzhou,28.82,57.04,51,64,4.85
380,nongan,44.38,10.4,60,40,4.47
381,ormara,25.21,71.93,76,0,6.76
382,martapura,-3.42,84.2,83,40,4.7
383,hamilton,43.23,32,74,90,12.75
384,mantenopolis,-18.86,64.37,95,88,2.95
385,andenes,69.31,30.2,80,48,10.29
386,talara,-4.58,68.47,82,44,4.85
387,nioro,13.35,67.79,39,0,11.68
388,kulhudhuffushi,6.62,80.93,100,64,8.1
389,liaozhong,41.51,23,38,0,11.18
390,mantua,22.29,67.88,95,0,2.84
391,saldanha,-33.01,84.2,32,0,9.17
392,aquiraz,-3.9,80.6,74,75,11.41
394,navirai,-23.07,72.11,97,56,3.74
395,guapiacu,-20.8,71.6,88,0,5.86
396,komsomolets,53.75,19.51,80,76,14.7
397,calella,41.62,39.2,100,20,12.01
398,mokhsogollokh,61.47,-27.25,42,68,2.95
399,boende,-0.22,71.89,99,92,2.95
400,ko samui,9.54,86,74,20,8.05
401,talnakh,69.49,-4.12,91,76,3.96
402,singaraja,-8.11,86,70,20,11.41
403,ahipara,-35.17,72.47,62,0,6.42
404,shimanovsk,52,-14.79,65,0,3.29
405,thinadhoo,0.53,82.82,100,0,11.56
406,noumea,-22.28,86,55,90,8.05
407,sayat,38.78,46.4,36,0,11.41
409,guiratinga,-16.35,72.34,93,48,2.62
410,truro,50.27,53.6,93,75,24.16
412,ondjiva,-17.07,67.07,89,64,8.55
413,broome,-17.97,87.8,70,75,13.87
414,agadir,30.42,44.6,93,0,5.82
415,kuching,1.55,87.8,70,75,5.82
416,wukari,7.85,69.23,56,36,4.74
417,rockford,42.27,23,79,90,13.87
418,talakan,50.32,-13.89,62,0,3.18
419,chegdomyn,51.12,-23.34,32,12,2.95
420,college,64.86,24.8,92,90,4.18
421,roma,41.89,50,86,40,3.36
422,wilmington,34.23,42.8,100,90,6.93
423,daru,-9.08,84.71,87,76,2.17
424,breves,-1.68,78.95,85,20,7.87
425,kloulklubed,7.04,87.8,74,90,5.82
426,tocopilla,-22.09,56.41,91,80,3.96
427,xichang,27.9,40.84,71,88,1.5
429,newport,51.59,53.6,100,100,13.87
430,cayenne,4.93,77,94,80,1.12
431,kushima,31.46,57.2,54,75,5.82
432,marawi,8,74.99,99,64,3.06
433,sungaipenuh,-2.08,75.44,78,88,1.39
434,minna,9.61,68.51,40,8,10.67
435,upington,-28.45,84.2,35,0,13.87
438,port-gentil,-0.72,80.6,88,75,9.17
439,beloha,-25.17,74.99,86,88,13.47
440,sauce,-34.65,66.2,93,90,10.29
441,jitra,6.27,89.6,70,75,4.7
442,staraya kulatka,52.72,19.14,97,88,4.36
443,aberdeen,57.14,46.4,100,8,24.16
444,paamiut,61.99,32.69,95,92,39.37
445,kathu,7.92,89.6,59,20,8.05
446,waterloo,43.47,30.2,79,90,16.11
447,saint anthony,45.02,15.8,66,1,11.41
448,aleksandrovsk-sakhalinskiy,50.9,3.93,100,76,10.18
450,roebourne,-20.78,96.99,30,0,11.86
451,paracatu,-17.22,67.74,99,92,6.15
452,mizdah,31.45,51,75,80,4.14
453,port hedland,-20.32,93.2,52,0,18.34
454,hearst,49.68,12.93,59,76,9.06
456,kwinana,-32.25,84.2,23,0,9.17
458,lagoa,39.05,67.34,95,92,24.49
459,casas grandes,30.37,37.95,100,80,6.49
460,zacatecas,22.78,45.11,65,32,7.94
461,krasnyy yar,46.53,33.8,86,0,8.95
462,santa clarita,34.39,71.6,7,1,18.34
463,leningradskiy,69.38,19.91,89,80,19.69
464,san rafael,-34.62,47.27,60,0,2.91
466,coxim,-18.51,72.02,93,20,2.91
467,mackay,-21.15,84.2,66,0,14.99
468,lucapa,-8.42,74.54,94,56,4.03
471,umtata,-31.59,69.8,64,40,4.7
473,poronaysk,49.22,11.22,100,36,13.65
474,likhoy,48.13,28.68,93,36,11.86
475,valsamata,38.17,44.6,87,0,8.61
476,honiara,-9.43,86,84,40,2.24
477,kattivakkam,13.22,86,62,40,5.82
478,umarga,17.83,81.42,74,32,3.69
479,huarmey,-10.07,55.86,90,12,3.13
480,odienne,9.51,60.8,72,0,2.24
482,ishigaki,24.34,66.2,93,75,13.87
483,cherskiy,68.75,-3,62,44,3.24
484,cabedelo,-6.98,73.4,88,20,8.95
485,lamesa,32.74,33.8,100,40,6.93
486,groningen,53.22,42.8,75,90,21.92
487,zhuhai,22.28,71.6,56,0,9.17
488,caucaia,-3.74,80.6,74,75,11.41
489,roald,62.58,50,76,40,11.41
490,rundu,-17.93,78.8,57,88,2.24
491,mtwara,-10.27,84.2,74,40,6.49
493,madona,56.85,29.72,98,92,5.37
494,sladkovo,55.53,19.77,85,20,8.39
495,guozhen,34.37,31.2,41,64,2.01
496,zhireken,52.82,-11.37,68,76,3.58
497,sola,-13.88,82.4,88,75,6.15
498,islahiye,37.02,42.8,41,0,8.05
499,vestmanna,62.16,33.8,100,90,48.32
500,ambovombe,-25.17,76.34,85,100,23.6
501,fort nelson,58.81,14,85,40,4.7
502,sozimskiy,59.74,24.99,84,88,5.14
503,porkhov,57.77,17.6,92,40,3.58
504,rio grande,-32.03,68.55,99,88,3.24
505,richards bay,-28.78,70.08,98,56,5.48
508,cairns,-16.92,84.2,74,0,6.93
509,tezu,27.92,65.36,59,0,1.79
510,ayagoz,47.97,23.55,71,12,3.91
511,naifaru,5.44,81.6,100,92,8.05
512,tena,-0.98,54.02,93,20,1.01
513,leshukonskoye,64.9,18.24,85,76,2.91
514,korla,41.76,33.54,43,0,4.25
515,vallenar,-28.57,46.64,65,0,2.01
516,digby,44.62,38.22,100,0,10.4
517,halifax,44.65,35.6,100,90,8.05
518,beyneu,45.32,35.43,91,88,5.37
519,kjopsvik,68.1,24.8,79,0,4.7
520,pekalongan,-6.89,84.93,100,8,5.48
521,barreirinha,-2.79,77.91,85,20,4.81
522,springfield,37.22,32,77,1,12.75
523,northam,51.03,55.4,93,75,17.22
524,shache,38.42,37.64,49,0,4.7
526,olavarria,-36.89,61.44,94,0,4.03
527,kawalu,-7.38,74.85,90,76,0.67
528,tiarei,-17.53,78.8,78,20,5.82
529,launceston,-41.45,60.8,67,90,19.46
530,ancud,-41.87,43.49,82,8,2.91
531,moss vale,-34.55,86,20,0,11.41
532,freeport,40.66,42.8,55,20,5.82
533,portree,57.41,45.51,100,80,43.62
534,goma,-1.68,69.77,100,32,1.9
535,grand bank,47.1,40.11,100,92,27.18
536,vao,-22.67,74.99,100,8,15.21
537,xining,36.62,25.89,23,12,4.36
538,portales,34.19,26.6,58,75,8.05
540,barra do garcas,-15.89,72.56,95,44,4.7
541,tupelo,34.26,42.8,56,1,5.97
542,tevaitoa,-16.78,82.23,96,0,11.74
544,fortuna,40.6,42.8,87,1,9.17
546,nadym,65.53,22.97,90,88,7.16
547,waddan,29.16,51.41,77,76,4.47
548,yenangyaung,20.47,83.22,60,12,5.14
550,shar,49.59,16.04,82,0,4.59
551,vila velha,-20.33,71.6,94,75,11.41
552,sosnovka,56.26,25.8,95,88,7.05
554,lewistown,40.6,35.6,51,75,14.99
555,rheinbach,50.63,35.6,74,40,6.93
556,pervomayskoye,43.92,38.99,100,20,4.7
558,troitskoye,52.98,13.61,87,44,3.58
559,yichun,47.7,-16.32,70,32,2.35
560,neryungri,56.67,-19.65,76,48,2.68
561,mount isa,-20.73,102.2,8,0,8.05
562,timmins,48.47,15.8,78,90,11.41
564,erzin,36.96,48.2,36,0,19.46
565,yagodnoye,62.55,-17.58,69,48,2.46
566,dubbo,-32.25,86,17,40,13.87
567,nouna,12.73,74.81,33,0,8.39
568,kulu,39.1,33.41,77,56,7.72
569,kapuskasing,49.42,12.2,78,90,20.8
570,grand island,40.92,17.6,72,1,16.11
571,gushikawa,26.35,69.8,63,90,9.17
572,la grande,45.32,19.4,85,1,2.35
574,kenora,49.82,1.4,84,90,9.17
575,tupa,-21.93,70.49,98,68,6.38
576,kozhva,65.11,23.28,88,80,4.7
578,svetlogorsk,52.63,28.64,94,92,4.7
580,beringovskiy,63.05,10.46,100,36,3.58
581,ihosy,-22.4,78.18,92,24,2.01
582,winnemucca,40.97,15.8,78,1,6.93
584,udachnyy,66.42,-24.29,35,48,3.58
586,foz,43.57,56.67,99,12,23.82
587,los alamos,35.89,26.6,53,90,11.41
588,knysna,-34.04,69.8,73,0,4.7
589,changji,44.02,26.6,73,75,4.47
590,bay roberts,47.6,33.8,100,90,8.05
591,ust-ilimsk,58,21.75,76,80,9.06
592,aljezur,37.32,52.35,100,20,4.7
593,moyo,3.66,85.47,73,0,4.14
594,kangaatsiaq,68.31,31.02,95,80,23.49
596,alice springs,-23.7,93.2,14,64,6.93
597,saint-georges,46.62,28.46,66,76,7.16
598,salard,47.22,35.6,98,75,13.87
599,ust-ishim,57.69,19.19,83,56,4.92
600,methoni,36.82,39.2,100,0,12.19
601,hokitika,-42.72,64.59,95,12,3.8
603,antalaha,-14.9,79.53,92,48,5.14
604,champerico,14.3,71.39,99,0,2.35
605,kargasok,59.06,20.31,80,8,4.7
606,ramnicu sarat,45.38,43.26,79,0,7.16
607,nueva guinea,11.69,70.8,98,92,2.57
608,muhos,64.75,21.2,100,64,9.17
609,hede,33.77,45.29,52,0,10.63
611,suwa,36.04,44.6,33,40,13.87
613,luanda,-8.84,78.8,78,75,4.7
614,salo,60.38,28.4,92,92,9.17
